dataset,note_id,num_tokens,num_words,num_chars_no_space
4CE,BCH_1,2498,1039,5500
4CE,BCH_5,1759,752,4015
4CE,BCH_6,1526,788,4252
4CE,KUMC_1,2017,1387,6201
4CE,KUMC_2,3248,2078,9976
4CE,KUMC_5,3165,2086,10477
4CE,KUMC_6,3735,2093,10742
4CE,KUMC_7,1946,1259,5521
4CE,UPMC_Note1,2092,954,5262
4CE,UPMC_Note3,2836,1445,7936
4CE,UPMC_Note4,2184,1004,5871
4CE,UPMC_Note7,2642,1194,7058
4CE,d30982c684512d4f0b6fd79836539d9ac,2866,1505,7987
4CE,d34f60de6187c4ebefd6d31bcaca64630,2101,1090,6066
4CE,d3f613256b944611d228c7d204b0de699,1546,849,4665
4CE,d54bcf6fe1fa225b13277b3b115fdcc3d,2671,1318,7782
4CE,dff4a5b3e1c4cd860f8e2b5c95bd14b51,3126,1623,8899
4CE,report03,3319,1658,8846
4CE,report04,2670,1281,6654
4CE,report06,7926,3681,19560
4CE,report07,3317,1701,9075
coral_breastca,21,3451,2273,11412
coral_breastca,22,2358,1463,7826
coral_breastca,23,3973,2191,11822
coral_breastca,24,2474,1527,7894
coral_breastca,25,1586,892,4770
coral_breastca,28,3397,2043,10690
coral_breastca,31,2946,1738,9265
coral_breastca,32,6061,3693,20757
coral_breastca,34,4862,2907,15911
coral_breastca,35,2325,1512,7651
coral_breastca,36,3321,2153,11503
coral_breastca,37,2524,1601,8655
coral_breastca,38,3632,1972,10598
coral_pdac,0,2881,1627,8738
coral_pdac,10,2933,1762,9777
coral_pdac,13,3694,2004,12129
coral_pdac,14,4793,2466,13996
coral_pdac,15,4165,2269,12506
coral_pdac,16,1921,892,5356
coral_pdac,17,4288,2329,12109
coral_pdac,18,2571,1406,6779
coral_pdac,1,3360,1691,9065
coral_pdac,2,4363,2406,13803
coral_pdac,3,2098,1265,7028
coral_pdac,5,2931,1621,8959
coral_pdac,6,3258,1795,9534
coral_pdac,7,4306,2260,13529
coral_pdac,9,5806,2954,16560
