model_a,model_b,dataset,column,metric,n_common_notes,n_boot,delta_point,delta_boot_mean,delta_ci_lo,delta_ci_hi,p_value,p_fdr
gpt4o,deepseek,4CE,code,f1,21,2000,0.1251490339918514,0.1262208460055685,0.08909527783159646,0.1664901060600119,0.0005,0.0009230769230769232
gpt4o,deepseek,4CE,code,accuracy,21,2000,0.17756644809809408,0.1790395294564354,0.1263754695264443,0.234834919445426,0.0005,0.0009230769230769232
gpt4o,deepseek,4CE,assertion_status,f1,21,2000,0.06116294557381763,0.0618625879749179,0.025524506346313904,0.09769204479399571,0.0005,0.0009230769230769232
gpt4o,deepseek,4CE,assertion_status,accuracy,21,2000,0.09319539193392412,0.09432046237879627,0.03789659958230605,0.1494670268086573,0.0005,0.0009230769230769232
gpt4o,deepseek,4CE,begin_date,f1,21,2000,-0.17585154749929943,-0.16919365343745355,-0.2799755444133408,-0.04471682410317892,0.016,0.025043478260869566
gpt4o,deepseek,4CE,begin_date,accuracy,21,2000,-0.1918578031734225,-0.18886965375638937,-0.34968951322936975,-0.04238744270734538,0.016,0.025043478260869566
gpt4o,deepseek,4CE,end_date,f1,21,2000,-0.15105721095867763,-0.13731222867055276,-0.24503989776832116,0.019241188857991413,0.077,0.10079999999999999
gpt4o,deepseek,4CE,end_date,accuracy,21,2000,-0.16275753741437238,-0.15207077524197524,-0.30209865264183255,0.01938815663409144,0.077,0.10079999999999999
gpt4o,deepseek,4CE,value,f1,21,2000,-0.0003198582594847732,-0.0006371314236048249,-0.09371511758420434,0.0771564173573519,0.961,0.9609999999999999
gpt4o,deepseek,4CE,value,accuracy,21,2000,-0.00045540493178664043,-0.00047278140010264933,-0.1308848582156384,0.11094105818054058,0.961,0.9609999999999999
gpt4o,deepseek,4CE,unit,f1,21,2000,-0.038777663031530074,-0.037611480486816055,-0.12194950470160514,0.044517485441421555,0.378,0.44616393442622954
gpt4o,deepseek,4CE,unit,accuracy,21,2000,-0.053001302938176065,-0.05107625429121492,-0.16195169456259412,0.06163529065739486,0.378,0.44616393442622954
gpt4o,deepseek,coral_breastca,code,f1,13,2000,0.0963926490044571,0.09633483057255404,0.05558814246881979,0.13940985228376662,0.0005,0.0009230769230769232
gpt4o,deepseek,coral_breastca,code,accuracy,13,2000,0.12672783576812463,0.1263041250230671,0.07406573311955054,0.17931650772911545,0.0005,0.0009230769230769232
gpt4o,deepseek,coral_breastca,assertion_status,f1,13,2000,0.08482020007012481,0.08487681026220502,0.04460224102587981,0.12476512175729793,0.0005,0.0009230769230769232
gpt4o,deepseek,coral_breastca,assertion_status,accuracy,13,2000,0.11745530520667624,0.11755737851985851,0.061368057181168015,0.17285780303602322,0.0005,0.0009230769230769232
gpt4o,deepseek,coral_breastca,begin_date,f1,13,2000,-0.05491594952512602,-0.051833706534206325,-0.16778589819256243,0.0650603725111049,0.389,0.45174193548387104
gpt4o,deepseek,coral_breastca,begin_date,accuracy,13,2000,-0.06607012574567617,-0.06291999200422954,-0.20543219067697868,0.07606339618630731,0.389,0.45174193548387104
gpt4o,deepseek,coral_breastca,end_date,f1,13,2000,-0.030947738729117047,-0.027065511869498175,-0.14824541770966365,0.09128994866930996,0.68,0.7307462686567164
gpt4o,deepseek,coral_breastca,end_date,accuracy,13,2000,-0.03691745770763577,-0.03284133919340424,-0.1833012244037229,0.10770828742681973,0.68,0.7307462686567164
gpt4o,deepseek,coral_breastca,value,f1,13,2000,0.14958413054038233,0.14795658626967445,0.0632788842811498,0.2408415430057511,0.001,0.00175609756097561
gpt4o,deepseek,coral_breastca,value,accuracy,13,2000,0.18490062005244712,0.1827469958594572,0.0754311120490566,0.2949530208049385,0.001,0.00175609756097561
gpt4o,deepseek,coral_breastca,unit,f1,13,2000,0.10121099050203519,0.10044179812348755,0.03181346927101042,0.16702395749225948,0.003,0.005142857142857143
gpt4o,deepseek,coral_breastca,unit,accuracy,13,2000,0.12030902851981634,0.11956277781204114,0.036552067807535345,0.19700922175448504,0.003,0.005142857142857143
gpt4o,deepseek,coral_pdac,code,f1,15,2000,0.1353170890362132,0.13526130993510377,0.10382739865449357,0.16450690803583232,0.0005,0.0009230769230769232
gpt4o,deepseek,coral_pdac,code,accuracy,15,2000,0.18254550291999838,0.1824118426852643,0.14220671585068576,0.2182512123408894,0.0005,0.0009230769230769232
