model,dataset,column,metric,point_estimate,boot_mean,boot_std,ci_lo,ci_hi,n_notes,n_boot
gpt4o,4CE,code,precision,0.9225560727888278,0.9228369409042726,0.00896199117311551,0.9039851376993285,0.9397695983855329,21,2000
gpt4o,4CE,code,recall,0.829686013320647,0.8302126861318765,0.016803725122707558,0.79631493247251,0.8613681393165225,21,2000
gpt4o,4CE,code,f1,0.8736599539124337,0.8740204519087764,0.01219716391853387,0.8487353504937888,0.8956497764923922,21,2000
gpt4o,4CE,code,accuracy,0.7756626934709127,0.7764389693227343,0.019192442153993232,0.7372200231014893,0.811019690555688,21,2000
gpt4o,4CE,assertion_status,precision,0.9426333615580017,0.942685009500233,0.013524191224682904,0.9145140644946074,0.967053883024527,21,2000
gpt4o,4CE,assertion_status,recall,0.8331150608044902,0.8335732323099431,0.01679360341964658,0.79971318151259,0.8649502971252983,21,2000
gpt4o,4CE,assertion_status,f1,0.8844969709007846,0.8847112496828876,0.013614821155502858,0.8567876383452707,0.9087523829315893,21,2000
gpt4o,4CE,assertion_status,accuracy,0.7929131054131054,0.7935238234749251,0.021824167654508345,0.7494562554740959,0.8327646045424573,21,2000
gpt4o,4CE,begin_date,precision,0.9501039501039501,0.9461749515690075,0.03692994668643101,0.8532417684054754,0.9901740257003415,21,2000
gpt4o,4CE,begin_date,recall,0.392274678111588,0.39559641698915726,0.0324772301616198,0.3393141515095081,0.46579187248419424,21,2000
gpt4o,4CE,begin_date,f1,0.5552855407047388,0.5569855681703989,0.03272993024147217,0.4950928442498807,0.623974734806129,21,2000
gpt4o,4CE,begin_date,accuracy,0.3843566021867115,0.38670558761670687,0.03170154265474856,0.32898565055925466,0.45346168462976755,21,2000
gpt4o,4CE,end_date,precision,0.9478458049886621,0.9431880200117385,0.04043545103773127,0.8463238664265837,0.9923290675172367,21,2000
gpt4o,4CE,end_date,recall,0.3973384030418251,0.4016391495834873,0.03505206100329891,0.3425031328805483,0.48403759840042504,21,2000
gpt4o,4CE,end_date,f1,0.5599464166108507,0.5621847112681774,0.03416458782616967,0.49778872745139324,0.6369483118200777,21,2000
gpt4o,4CE,end_date,accuracy,0.38883720930232557,0.3917918410434671,0.03339951996938399,0.3313706510866373,0.4672957883238257,21,2000
gpt4o,4CE,value,precision,0.9835329341317365,0.9830496263882376,0.009151346141541547,0.9612710180319496,0.9975611978780784,21,2000
gpt4o,4CE,value,recall,0.6952380952380952,0.6955272343986381,0.041520185818963495,0.6086364964236646,0.7706319223023997,21,2000
gpt4o,4CE,value,f1,0.8146311221326721,0.8140715325269631,0.030668361317034605,0.747835180704214,0.866673565937315,21,2000
gpt4o,4CE,value,accuracy,0.6872384937238494,0.6875592365165606,0.04324330416635925,0.5972338256181494,0.76471662777846,21,2000
gpt4o,4CE,unit,precision,0.9798561151079137,0.979757171608716,0.0069061496545622355,0.9641007194244604,0.9914533560864619,21,2000
gpt4o,4CE,unit,recall,0.6352611940298507,0.6363126704233093,0.03989310788735329,0.5575775277118342,0.7142857142857143,21,2000
gpt4o,4CE,unit,f1,0.7707979626485569,0.7708177628131666,0.029636702439677563,0.7095260088135087,0.8261505027724648,21,2000
gpt4o,4CE,unit,accuracy,0.6270718232044199,0.6280407248881013,0.03914277808924741,0.5498181394396945,0.7037959414909072,21,2000
gpt4o,coral_breastca,code,precision,0.8668424522083059,0.8664613262552905,0.015117803927112154,0.836413676354165,0.8945593285388187,13,2000
gpt4o,coral_breastca,code,recall,0.7669874599008457,0.7670505208481273,0.018473168718668224,0.7260501636476886,0.8004714918146487,13,2000
gpt4o,coral_breastca,code,f1,0.8138635308680179,0.8135681270886285,0.012938051234436556,0.7866469857193996,0.837583091925224,13,2000
gpt4o,coral_breastca,code,accuracy,0.6861466214453431,0.6859266676380059,0.01833970877165882,0.6483249117368571,0.7205530879701681,13,2000
gpt4o,coral_breastca,assertion_status,precision,0.913946587537092,0.9140338623088974,0.01674544685715145,0.8789768351365024,0.9451459465864505,13,2000
gpt4o,coral_breastca,assertion_status,recall,0.7769058295964125,0.7768932382969214,0.01999881995689995,0.7344569035065741,0.8124153143443822,13,2000
gpt4o,coral_breastca,assertion_status,f1,0.8398727465535525,0.83982955255439,0.017364988385584448,0.803291009351542,0.8713627192280541,13,2000
gpt4o,coral_breastca,assertion_status,accuracy,0.7239488117001828,0.7242691912301399,0.02571141132438272,0.6712500830626554,0.7720484997999078,13,2000
gpt4o,coral_breastca,begin_date,precision,0.9792349726775956,0.9787553032524775,0.014068235135823908,0.9455860361532457,0.9969325936695138,13,2000
gpt4o,coral_breastca,begin_date,recall,0.5242832065535401,0.5273475719646935,0.04184644876631231,0.4508846153846154,0.6134001614943798,13,2000
gpt4o,coral_breastca,begin_date,f1,0.6829268292682926,0.6844719061620727,0.03609564721238374,0.6142631093412738,0.7556386271919201,13,2000
gpt4o,coral_breastca,begin_date,accuracy,0.5185185185185185,0.5214492581028519,0.04186461362417639,0.44327542523778196,0.607250160492048,13,2000
gpt4o,coral_breastca,end_date,precision,0.974585635359116,0.9740731371515016,0.014190344491235431,0.9404423073825936,0.9941039761049494,13,2000
gpt4o,coral_breastca,end_date,recall,0.5335753176043557,0.5372536294331685,0.04340721291382773,0.4586297880569049,0.626923717295277,13,2000
gpt4o,coral_breastca,end_date,f1,0.6896012509773259,0.6915143086942531,0.03645436974814464,0.6216427670023407,0.7637578227291107,13,2000
gpt4o,coral_breastca,end_date,accuracy,0.5262529832935561,0.5296749344010373,0.04278538688898297,0.45100265165082054,0.6178059904416802,13,2000
gpt4o,coral_breastca,value,precision,0.9890510948905109,0.9888286678199709,0.005708180926168651,0.9766070449561404,1.0,13,2000
gpt4o,coral_breastca,value,recall,0.6724565756823822,0.6711202352264499,0.05255890546359475,0.5563782618310482,0.7595641551071879,13,2000
gpt4o,coral_breastca,value,f1,0.8005908419497784,0.7983594151021711,0.03802578375168639,0.7114157184997892,0.8584449110309852,13,2000
gpt4o,coral_breastca,value,accuracy,0.6674876847290641,0.6660272726418225,0.051780980120555105,0.5520909547560214,0.7519960506551298,13,2000
gpt4o,coral_breastca,unit,precision,0.9901315789473685,0.9905105383391563,0.005705789821842681,0.9791648519163763,1.0,13,2000
gpt4o,coral_breastca,unit,recall,0.6068548387096774,0.6062431104684298,0.045990511080611265,0.5098394372544685,0.6880010398613517,13,2000
gpt4o,coral_breastca,unit,f1,0.7525,0.7510387872200384,0.035181080487699426,0.6750269344975544,0.8102121374865735,13,2000
gpt4o,coral_breastca,unit,accuracy,0.6032064128256514,0.6025870619976484,0.04465919132427887,0.5094646900499851,0.6809719333930386,13,2000
gpt4o,coral_pdac,code,precision,0.8734245105926521,0.8737302099672458,0.008673667253600944,0.857896240381205,0.8915789644743339,15,2000
gpt4o,coral_pdac,code,recall,0.8243482662617059,0.8246201079316086,0.012126668876940732,0.8000573007269863,0.8474083259983798,15,2000
gpt4o,coral_pdac,code,f1,0.8481770833333333,0.8484009743261866,0.007765092105893014,0.8339940197005669,0.8646824065554103,15,2000
gpt4o,coral_pdac,code,accuracy,0.7363780239656342,0.7367946056645821,0.011722356411434605,0.7152570690219096,0.7616216040226566,15,2000
