model,dataset,n_notes,n_chunks_total,mean_chunks_per_note,sum_input_tokens,sum_output_tokens,sum_total_tokens,mean_input_tokens_per_note,mean_output_tokens_per_note,mean_wallclock_sec_per_note,sum_wallclock_sec,sum_wallclock_hours,api_dollars_total,api_dollars_per_note,gpu_count,gpu_hours_total,gpu_hours_per_note,notes_source
o3-mini,4CE,49,206,4.204081632653061,2101456,6635705,8737161,42886.857142857145,135422.55102040817,600.0671428571428,29403.29,8.167580555555556,31.5087036,0.6430347673469388,,,,slurm_log; n_observed=49
o3-mini,CORAL-Breast,20,141,7.05,1345506,4752763,6098269,67275.3,237638.15,1321.519,26430.38,7.341772222222223,22.3922138,1.11961069,,,,slurm_log; n_observed=20
o3-mini,CORAL-Pancreas,20,140,7,1380652,4835984,6216636,69032.6,241799.2,1634.3605,32687.21,9.079780555555555,22.7970468,1.13985234,,,,slurm_log; n_observed=20
gpt-4o-1120,4CE,49,206,4.204081632653061,2101456,210145,2311601,42886.857142857145,4288.685714285714,0.0,0.0,0.0,7.355090000000001,0.15010387755102042,,,,input_tokens=derived from o3-mini profile (same prompts/chunker); output_tokens=in × 0.10; wallclock=MISSING
gpt-4o-1120,CORAL-Breast,20,141,7.05,1345506,134550,1480056,67275.3,6727.530000000001,0.0,0.0,0.0,4.709265,0.23546325,,,,input_tokens=derived from o3-mini profile (same prompts/chunker); output_tokens=in × 0.10; wallclock=MISSING
gpt-4o-1120,CORAL-Pancreas,20,140,7,1380652,138065,1518717,69032.6,6903.260000000001,0.0,0.0,0.0,4.83228,0.241614,,,,input_tokens=derived from o3-mini profile (same prompts/chunker); output_tokens=in × 0.10; wallclock=MISSING
llama-3.1-405b-fp8,4CE,49,206,4.204081632653061,2101456,210145,2311601,42886.857142857145,4288.685714285714,92.0,4508.0,1.2522222222222221,,,8,10.017777777777777,0.20444444444444443,input_tokens=derived from o3-mini profile (same prompts/chunker); output_tokens=in × 0.10; wallclock=CLI_override
llama-3.1-405b-fp8,CORAL-Breast,20,141,7.05,1345506,134550,1480056,67275.3,6727.530000000001,220.0,4400.0,1.2222222222222223,,,8,9.777777777777779,0.48888888888888893,input_tokens=derived from o3-mini profile (same prompts/chunker); output_tokens=in × 0.10; wallclock=CLI_override
llama-3.1-405b-fp8,CORAL-Pancreas,20,140,7,1380652,138065,1518717,69032.6,6903.260000000001,245.0,4900.0,1.3611111111111112,,,8,10.88888888888889,0.5444444444444445,input_tokens=derived from o3-mini profile (same prompts/chunker); output_tokens=in × 0.10; wallclock=CLI_override
deepseek-r1-distill-qwen-32b,4CE,49,206,4.204081632653061,2101456,3152184,5253640,42886.857142857145,64330.28571428572,70.0,3430.0,0.9527777777777777,,,2,1.9055555555555554,0.03888888888888889,input_tokens=derived from o3-mini profile (same prompts/chunker); output_tokens=in × 1.50; wallclock=CLI_override
deepseek-r1-distill-qwen-32b,CORAL-Breast,20,141,7.05,1345506,2018259,3363765,67275.3,100912.95000000001,180.0,3600.0,1.0,,,2,2.0,0.1,input_tokens=derived from o3-mini profile (same prompts/chunker); output_tokens=in × 1.50; wallclock=CLI_override
deepseek-r1-distill-qwen-32b,CORAL-Pancreas,20,140,7,1380652,2070978,3451630,69032.6,103548.90000000001,200.0,4000.0,1.1111111111111112,,,2,2.2222222222222223,0.11111111111111112,input_tokens=derived from o3-mini profile (same prompts/chunker); output_tokens=in × 1.50; wallclock=CLI_override
