model,dataset,note_key,num_chunks,input_tokens,output_tokens,total_tokens,wall_clock_sec,source
o3-mini,4CE,4CE_BCH_1,4,45134,141280,186414,465.84,slurm_log
o3-mini,4CE,4CE_BCH_2,4,44154,140931,185085,535.94,slurm_log
o3-mini,4CE,4CE_BCH_3,3,32862,104015,136877,376.61,slurm_log
o3-mini,4CE,4CE_BCH_4,3,27651,71899,99550,226.95,slurm_log
o3-mini,4CE,4CE_BCH_5,3,32280,104725,137005,370.75,slurm_log
o3-mini,4CE,4CE_BCH_6,3,30912,95430,126342,349.47,slurm_log
o3-mini,4CE,4CE_BCH_7,4,42143,111732,153875,423.06,slurm_log
o3-mini,4CE,4CE_COL_1,2,17310,77505,94815,278.83,slurm_log
o3-mini,4CE,4CE_COL_2,2,17851,63939,81790,204.73,slurm_log
o3-mini,4CE,4CE_COL_3,2,16660,65014,81674,217.63,slurm_log
o3-mini,4CE,4CE_COL_4,1,10660,35698,46358,123.29,slurm_log
o3-mini,4CE,4CE_COL_5,2,19442,72393,91835,283.44,slurm_log
o3-mini,4CE,4CE_COL_6,3,26026,105791,131817,369.19,slurm_log
o3-mini,4CE,4CE_COL_7,2,19877,73044,92921,263.2,slurm_log
o3-mini,4CE,4CE_ICSM_1,3,24571,88571,113142,467.27,slurm_log
o3-mini,4CE,4CE_ICSM_2,2,20660,66857,87517,254.96,slurm_log
o3-mini,4CE,4CE_ICSM_3,1,11102,50918,62020,144.34,slurm_log
o3-mini,4CE,4CE_ICSM_4,2,20939,76613,97552,259.41,slurm_log
o3-mini,4CE,4CE_ICSM_5,1,10542,40399,50941,148.17,slurm_log
o3-mini,4CE,4CE_ICSM_6,2,18701,65932,84633,209.4,slurm_log
o3-mini,4CE,4CE_ICSM_7,1,7154,26918,34072,94.75,slurm_log
o3-mini,4CE,4CE_KUMC_1,3,31658,94520,126178,368.03,slurm_log
o3-mini,4CE,4CE_KUMC_2,5,54884,197761,252645,729.21,slurm_log
o3-mini,4CE,4CE_KUMC_3,4,45314,171994,217308,608.05,slurm_log
o3-mini,4CE,4CE_KUMC_4,1,6661,12263,18924,49.08,slurm_log
o3-mini,4CE,4CE_KUMC_5,5,55226,202871,258097,733.05,slurm_log
o3-mini,4CE,4CE_KUMC_6,5,59554,233558,293112,873.09,slurm_log
o3-mini,4CE,4CE_KUMC_7,3,32195,110183,142378,396.6,slurm_log
o3-mini,4CE,4CE_UPMC_Note1,4,41228,117615,158843,453.76,slurm_log
o3-mini,4CE,4CE_UPMC_Note2,4,40816,112768,153584,395.18,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_20,10,99661,322208,421869,1299.4,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_21,7,62432,245551,307983,926.91,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_22,5,49553,171607,221160,768.66,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_23,7,73235,277035,350270,1755.22,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_24,5,46431,179449,225880,837.45,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_25,3,30537,95022,125559,732.5,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_26,9,80612,285125,365737,1299.41,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_27,12,115826,407706,523532,2127.76,slurm_log
o3-mini,CORAL-Breast,coral_annotated_breastca_28,7,63560,219275,282835,1401.2,slurm_log
