model,dataset,stage,calls_per_chunk_max,calls_per_chunk_obs,stage_calls_max_total,stage_calls_obs_total,stage_share_max,stage_share_obs,stage_input_tokens_est_obs,stage_output_tokens_est_obs,stage_total_tokens_est_obs,stage_dollars_est_obs
o3-mini,4CE,ner,1,1.0,206,206.0,0.1,0.1481,311326,983067,1294393,4.668
o3-mini,4CE,entity,2,2.0,412,412.0,0.2,0.2963,622653,1966134,2588787,9.3359
o3-mini,4CE,info,2,2.0,412,412.0,0.2,0.2963,622653,1966134,2588787,9.3359
o3-mini,4CE,date,5,1.75,1030,360.5,0.5,0.2593,544821,1720367,2265188,8.1689
o3-mini,4CE,reconciliation,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
o3-mini,CORAL-Breast,ner,1,1.0,141,141.0,0.1,0.1481,199334,704113,903447,3.3174
o3-mini,CORAL-Breast,entity,2,2.0,282,282.0,0.2,0.2963,398668,1408226,1806894,6.6347
o3-mini,CORAL-Breast,info,2,2.0,282,282.0,0.2,0.2963,398668,1408226,1806894,6.6347
o3-mini,CORAL-Breast,date,5,1.75,705,246.8,0.5,0.2593,348834,1232197,1581031,5.8054
o3-mini,CORAL-Breast,reconciliation,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
o3-mini,CORAL-Pancreas,ner,1,1.0,140,140.0,0.1,0.1481,204541,716442,920983,3.3773
o3-mini,CORAL-Pancreas,entity,2,2.0,280,280.0,0.2,0.2963,409082,1432884,1841966,6.7547
o3-mini,CORAL-Pancreas,info,2,2.0,280,280.0,0.2,0.2963,409082,1432884,1841966,6.7547
o3-mini,CORAL-Pancreas,date,5,1.75,700,245.0,0.5,0.2593,357946,1253773,1611719,5.9103
o3-mini,CORAL-Pancreas,reconciliation,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
gpt-4o-1120,4CE,ner,1,1.0,206,206.0,0.1,0.1481,311326,31132,342458,1.0896
gpt-4o-1120,4CE,entity,2,2.0,412,412.0,0.2,0.2963,622653,62265,684918,2.1793
gpt-4o-1120,4CE,info,2,2.0,412,412.0,0.2,0.2963,622653,62265,684918,2.1793
gpt-4o-1120,4CE,date,5,1.75,1030,360.5,0.5,0.2593,544821,54482,599303,1.9069
gpt-4o-1120,4CE,reconciliation,0,0.0,0,0.0,0.0,0.0,0,0,0,0.0
gpt-4o-1120,CORAL-Breast,ner,1,1.0,141,141.0,0.1,0.1481,199334,19933,219267,0.6977
gpt-4o-1120,CORAL-Breast,entity,2,2.0,282,282.0,0.2,0.2963,398668,39866,438534,1.3953
gpt-4o-1120,CORAL-Breast,info,2,2.0,282,282.0,0.2,0.2963,398668,39866,438534,1.3953
gpt-4o-1120,CORAL-Breast,date,5,1.75,705,246.8,0.5,0.2593,348834,34883,383717,1.2209
